sample,condition,UrchinID
S0551_C1_S1_L001,Reference,C1
S0552_C2_S2_L001,Reference,C2
S0553_C3_S3_L001,Reference,C3
S0554_C5_S4_L001,Reference,C5
S0555_C7_S5_L001,Reference,C7
S0556_C8_S6_L001,Reference,C8
S0557_C9_S7_L001,Reference,C9
S0558_C10_S8_L001,Reference,C10
S0559_C11_S9_L001,Reference,C11
S0560_C12_S10_L001,Reference,C12
S0561_C13_S11_L001,Reference,C13
S0562_C14_S12_L001,Reference,C14
S0563_C15_S13_L002,Reference,C15
S0564_C16_S14_L002,Reference,C16
S0565_H1_S15_L002,Elevated CO2,H1
S0566_H2_S16_L002,Elevated CO2,H2
S0567_H3_S17_L002,Elevated CO2,H3
S0568_H4_S18_L002,Elevated CO2,H4
S0569_H5_S19_L002,Elevated CO2,H5
S0570_H6_S20_L002,Elevated CO2,H6
S0571_H7_S21_L002,Elevated CO2,H7
S0572_H8_S22_L002,Elevated CO2,H8
S0573_H9_S23_L002,Elevated CO2,H9
S0574_H10_S24_L002,Elevated CO2,H10
S0575_H11_S25_L003,Elevated CO2,H11
S0576_H12_S26_L003,Elevated CO2,H12
S0577_H13_S27_L003,Elevated CO2,H13
S0578_H14_S28_L003,Elevated CO2,H14
S0579_H15_S29_L003,Elevated CO2,H15
S0580_H16_S30_L003,Elevated CO2,H16
S0581_H17_S31_L003,Elevated CO2,H17
