TermID	Name	Value	LogSize	Frequency	Uniqueness	Dispensability	Representative
GO:0001778	"plasma membrane repair"	1.50607566059392	3.557988148224913	0.010257375231649747	0.8740877839360071	0.63143141	null
GO:0002933	"lipid hydroxylation"	4.13463494527171	2.3560258571931225	0.0006416182680190542	0.9423765667089402	0.22005621	null
GO:0005977	"glycogen metabolic process"	1.30195744317241	4.824503317192729	0.18952438370861946	0.9765947128997171	0.05191618	null
GO:0006066	"alcohol metabolic process"	4.20202051510398	5.628229489164837	1.2061373001770752	0.9371937336011315	0.04466449	null
GO:0006706	"steroid catabolic process"	4.29572913646884	4.028205119905443	0.030292331503377463	0.8910399819995178	0.549763	null
GO:0006707	"cholesterol catabolic process"	1.99750504542306	3.847202363980924	0.019966819818486758	0.850566598164659	0.63901782	null
GO:0006720	"isoprenoid metabolic process"	3.09158509227945	5.346298195115413	0.6301798609312277	0.9132249018435965	0.31144989	null
GO:0006721	"terpenoid metabolic process"	3.47682858988054	5.132019415952632	0.3847551953761694	0.913087290796833	0.58949203	null
GO:0006892	"post-Golgi vesicle-mediated transport"	2.43177744353527	4.948843134586085	0.252351871634556	0.9382500700245489	0.63241399	null
GO:0006897	"endocytosis"	2.73225831451084	5.389453155612936	0.6960167088753068	0.9342372585550202	0.00364997	null
GO:0006900	"vesicle budding from membrane"	1.51578730540592	4.7661450487868215	0.16569365918759316	0.862743224188434	0.66270699	null
GO:0007009	"plasma membrane organization"	1.59810226772067	4.729658761709667	0.15234175337124975	0.918294437079076	0.32131349	null
GO:0007163	"establishment or maintenance of cell polarity"	1.5859344213099	4.948672095747965	0.2522525059735796	0.9971351703222509	0.00330408	null
GO:0007167	"enzyme-linked receptor protein signaling pathway"	2.88353891053668	5.311336313992774	0.5814367456939749	0.7881192760575746	0.22561649	null
GO:0007264	"small GTPase-mediated signal transduction"	2.39641766886245	5.1638170938993255	0.4139828947976569	0.7950514346587292	0.40287232	null
GO:0007300	"ovarian nurse cell to oocyte transport"	1.60192013259752	2.060697840353612	0.0003236481528945671	0.9195597483184341	0.38022749	null
GO:0007622	"rhythmic behavior"	1.70558245738935	3.6101276130759956	0.011566162937653215	0.957613911427344	0.69138897	null
GO:0008202	"steroid metabolic process"	2.58361022878535	5.272006467798588	0.5310952628244445	0.9142797999618771	0.50137915	null
GO:0008207	"C21-steroid hormone metabolic process"	3.6393891926399	3.9607560909017727	0.025934437514840973	0.7533825545897088	0.69360341	null
GO:0008209	"androgen metabolic process"	3.01604510095092	3.5984622004741507	0.011259548898068888	0.7647865616470669	0.66149421	null
GO:0008407	"chaeta morphogenesis"	2.12333469595231	2.4099331233312946	0.000726788834570256	0.9435065034781334	0	null
GO:0009648	"photoperiodism"	1.6524603134098	4.0747433209410024	0.03371902729762082	0.9326935746873931	0.18292899	null
GO:0009649	"entrainment of circadian clock"	1.56634436541228	4.0527324074032185	0.03205252321210231	0.8498218717731513	0.18231496	null
GO:0009820	"alkaloid metabolic process"	4.41187065798534	4.071034675054151	0.033432286390231776	0.9829375723931183	0.02841325	null
GO:0009822	"alkaloid catabolic process"	4.41187065798534	2.1958996524092336	0.00044288694606624973	0.9759773701303549	0.02326187	null
GO:0010038	"response to metal ion"	3.33421476378671	4.940048070933549	0.24729273998141463	0.9015139867553251	0.43572171	null
GO:0010256	"endomembrane system organization"	3.087404972798	5.383183205050905	0.6860403965132761	0.9220454713741406	0.37111235	null
GO:0010511	"regulation of phosphatidylinositol biosynthetic process"	1.65734933436204	3.29928933408768	0.005652486600114764	0.9033855926887802	0.13101838	null
GO:0010970	"transport along microtubule"	1.3968658900289	4.834903690951083	0.19411791626461428	0.945943767183121	0.5519336	null
GO:0015721	"bile acid and bile salt transport"	1.56634436541228	3.926136571067449	0.023947124295312927	0.9631663721415722	0.38407817	null
GO:0016042	"lipid catabolic process"	1.68791661360666	5.6714792409465655	1.3324367333158524	0.9024062705425103	0.55051886	null
GO:0016050	"vesicle organization"	3.5029376151847	5.2710559147887714	0.5299341041004632	0.9151186586293273	0.51074899	null
GO:0016098	"monoterpenoid metabolic process"	4.41187065798534	2.5440680443502757	0.000990817590878982	0.9379596187907892	0.00217768	null
GO:0016333	"morphogenesis of follicular epithelium"	1.45107558749312	2.510545010206612	0.0009170030998679401	0.9389770926239677	0.51122449	null
GO:0016334	"establishment or maintenance of polarity of follicular epithelium"	1.51578730540592	2.292256071356476	0.0005536086825828122	0.9268619920585333	0.52806376	null
GO:0016601	"Rac protein signal transduction"	1.60192013259752	3.3273589343863303	0.006030076111825092	0.8404903902385805	0.61084133	null
GO:0022416	"chaeta development"	1.33489372034086	2.7867514221455614	0.0017346405387594784	0.9469925731025782	0.50706705	null
GO:0022604	"regulation of cell morphogenesis"	1.79382137138283	5.393561165241274	0.7026316228774502	0.875504488358495	0.17996005	null
GO:0030010	"establishment of cell polarity"	1.48847359624217	4.6531835598447415	0.12774449375126265	0.9832694616310856	0.63594256	null
GO:0030029	"actin filament-based process"	4.41187065798534	5.510220508557817	0.9191522371639156	0.9968117555349976	0.00375776	null
GO:0030036	"actin cytoskeleton organization"	4.81122744727121	5.49375491491891	0.884956254693608	0.9006576625756371	0	null
GO:0030225	"macrophage differentiation"	2.08583794233765	3.474798818800631	0.008468793334074506	0.9354247585437707	0.28026549	null
GO:0030705	"cytoskeleton-dependent intracellular transport"	2.00155641901838	4.8940500866741425	0.22243996866177393	0.9497590141430778	0.24149826	null
GO:0030865	"cortical cytoskeleton organization"	1.30739539963349	4.615623945501026	0.1171606313478333	0.9175806822290463	0.65426267	null
GO:0031268	"pseudopodium organization"	1.50607566059392	2.4800069429571505	0.0008545446843970588	0.946988028658694	0.21974506	null
GO:0032482	"Rab protein signal transduction"	2.12333469595231	3.8394151926838935	0.019611942457856753	0.8295027929230088	0.66221178	null
GO:0032535	"regulation of cellular component size"	4.38909215095388	5.061671079270153	0.3272167996330625	0.7491416941827237	0.3448207	null
GO:0032868	"response to insulin"	1.4814463672196	4.483016420144132	0.08633172527518326	0.86376843491946	0	null
GO:0032970	"regulation of actin filament-based process"	4.05285020007851	5.114564283389942	0.3695976735489406	0.8762110371664754	0.17999309	null
GO:0035025	"positive regulation of Rho protein signal transduction"	3.32515907079306	4.311902131419489	0.058216921256631526	0.8288503512807329	0.154465	null
GO:0036378	"calcitriol biosynthetic process from calciol"	4.29572913646884	2.8344207036815323	0.0019362108795973226	0.8537048442297378	0.54578817	null
GO:0042178	"xenobiotic catabolic process"	3.95815550020882	4.4021925778788225	0.07167103175283639	0.8648532340264894	0.39797327	null
GO:0042180	"ketone metabolic process"	1.59810226772067	5.226287925923579	0.47802832182527566	0.9792321675400207	0.05683682	null
